molecule_chembl_id,canonical_smiles,activity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL118596,O=C1C(=O)N(Cc2ccccc2)c2ccc(I)cc21,inactive,363.15400000000005,3.0207000000000015,0.0,2.0,4.300000029139088
CHEMBL148483,CN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,204.18499999999997,-0.05540000000000028,1.0,3.0,4.1399999760652255
CHEMBL210525,CCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,232.23899999999998,0.7248,1.0,3.0,4.600000074606178
CHEMBL379727,CCCCN1C(=O)C(=O)c2cc(C(N)=O)ccc21,inactive,246.26599999999996,1.1148999999999998,1.0,3.0,4.719999935717911
CHEMBL348660,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccccc1,inactive,280.28299999999996,1.5150000000000001,1.0,3.0,4.900000142057633
CHEMBL358279,NC(=O)c1ccc2c(c1)C(=O)C(=O)N2Cc1ccc2ccccc2c1,active,330.34299999999996,2.6682000000000006,1.0,3.0,6.919987152892072
CHEMBL208732,O=C(CSc1nccc(-c2csc(-c3ccccc3)n2)n1)Nc1cc(Cl)cc(Cl)c1,inactive,473.4100000000001,6.304700000000004,1.0,6.0,1.0
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,inactive,437.4370000000002,3.3684800000000017,2.0,9.0,1.0
CHEMBL210146,COc1cccc(-c2nc(SCC(=O)Nc3ccc([N+](=O)[O-])cc3)nc(O)c2C#N)c1,inactive,437.4370000000002,3.3684800000000017,2.0,9.0,3.5228787452803374
CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,inactive,377.3820000000001,1.8744999999999998,2.0,9.0,1.0
CHEMBL207458,CCOC(=O)c1cnc(SCC(=O)Nc2ccc([N+](=O)[O-])cc2)nc1N,inactive,377.3820000000001,1.8744999999999998,2.0,9.0,3.6020599913279625
CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,inactive,403.38200000000006,3.223200000000001,2.0,7.0,1.0
CHEMBL207484,COC(OC)c1cc(O)nc(SCC(=O)Nc2ccc(C(F)(F)F)cc2)n1,inactive,403.38200000000006,3.223200000000001,2.0,7.0,3.6989700043360187
CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,inactive,401.8750000000001,4.667120000000002,2.0,6.0,1.0
CHEMBL207207,Cc1cc(O)nc(SCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)n1,inactive,401.8750000000001,4.667120000000002,2.0,6.0,4.0
CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,inactive,462.53100000000023,4.441480000000004,2.0,8.0,1.0
CHEMBL210487,CCC(Sc1nc(O)c(C#N)c(-c2cccc(OC)c2)n1)C(=O)Nc1ccc(C(C)=O)cc1,inactive,462.53100000000023,4.441480000000004,2.0,8.0,4.221848749616356
CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,inactive,397.45600000000013,3.5972000000000017,2.0,7.0,1.0
CHEMBL380470,COc1ccc(NC(=O)CSc2nc(O)cc(-c3ccccc3)n2)cc1OC,inactive,397.45600000000013,3.5972000000000017,2.0,7.0,4.346787486224656
CHEMBL210612,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,inactive,369.51500000000004,5.059300000000004,1.0,5.0,1.0
CHEMBL210612,CC(C)c1ccc(NC(=O)CSc2nccc(-c3cccs3)n2)cc1,inactive,369.51500000000004,5.059300000000004,1.0,5.0,4.3979400086720375
CHEMBL209667,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,inactive,457.3420000000001,5.8362000000000025,1.0,6.0,1.0
CHEMBL209667,O=C(CSc1nccc(-c2cc(-c3ccccc3Cl)no2)n1)Nc1ccc(Cl)cc1,inactive,457.3420000000001,5.8362000000000025,1.0,6.0,4.823908740944319
CHEMBL210097,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,inactive,525.3390000000002,6.855000000000004,1.0,6.0,1.0
CHEMBL210097,O=C(CSc1nccc(-c2cc(-c3ccc(Cl)cc3Cl)no2)n1)Nc1ccc(C(F)(F)F)cc1,inactive,525.3390000000002,6.855000000000004,1.0,6.0,4.823908740944319
CHEMBL378674,CSc1sc(-c2nc(C)cs2)c(C)c1-c1ccnc(SCC(=O)Nc2ccccc2Cl)n1,inactive,519.1420000000002,7.051540000000005,1.0,8.0,1.0
